FormName,FormFreq,Username,Know what is expected of you as a worker,Help build a team as a working unit,Determine what is expected of you on the job,"Know how things ""really work"" inside an organisation",Work under pressure,Master an organisation's slang and special jargon,Manage conflict among group members,Understand what all of the duties of your role entail,Solve new and difficult problems,Work under extreme cricumstances,Understand the politics in the organisation,Continue to learn once you're on the job,Develop cooperative working relationships with others,Invent new ways of doing things,Solve most problems even though no solution is immediately apparent,Find out exactly what a problem is when fist becoming aware of it,Listen effectively to gain information,Know an organisation's long-held traditions,Work well in situations that other people consider stressful,Understand the behaviour appropriate to your role,Challenge things that are done by the book,Learn from your mistakes,Solve problems no matter how complex,Coordinate tasks within you work group,Learn to improve on your past performance,Be sensitive to other's feelings and attitudes,Function well at work even when faced with personal difficulties,Concentrate on what someone is saying to you even though other things could distract you,Listen effectively to understand opposing points of view,Have the skills and abilities to do my job properly,Date,ID
Autistica - Work: Self Confidence,120,24052776,Not confident at all,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,14/02/2019,455
Autistica - Work: Self Confidence,120,70538701,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,14/02/2019,456
Autistica - Work: Self Confidence,120,89804580,Completely confident,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,14/02/2019,457
Autistica - Work: Self Confidence,120,17191527,Not confident at all,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,14/02/2019,458
Autistica - Work: Self Confidence,120,12248148,Not confident at all,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,14/02/2019,459
Autistica - Work: Self Confidence,120,14567809,Completely confident,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,14/02/2019,460
Autistica - Work: Self Confidence,120,53779464,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,14/02/2019,461
Autistica - Work: Self Confidence,120,97777931,Not confident at all,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,14/02/2019,462
Autistica - Work: Self Confidence,120,99713717,Completely confident,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,14/02/2019,463
Autistica - Work: Self Confidence,120,93466703,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,14/02/2019,464
Autistica - Work: Self Confidence,120,37419497,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,14/02/2019,465
Autistica - Work: Self Confidence,120,35358065,Completely confident,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,14/02/2019,466
Autistica - Work: Self Confidence,120,86131995,Not confident at all,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,14/02/2019,467
Autistica - Work: Self Confidence,120,57180656,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,14/02/2019,468
Autistica - Work: Self Confidence,120,62929404,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,14/02/2019,469
Autistica - Work: Self Confidence,120,30901982,Completely confident,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,14/02/2019,470
Autistica - Work: Self Confidence,120,93085379,Not confident at all,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,14/02/2019,471
Autistica - Work: Self Confidence,120,77431644,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,14/02/2019,472
Autistica - Work: Self Confidence,120,67013133,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,14/02/2019,473
Autistica - Work: Self Confidence,120,13838301,Not confident at all,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,14/02/2019,474
Autistica - Work: Self Confidence,120,66718298,Not confident at all,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,14/02/2019,475
Autistica - Work: Self Confidence,120,24641611,Not confident at all,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,14/02/2019,476
Autistica - Work: Self Confidence,120,67388864,Completely confident,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,14/02/2019,477
Autistica - Work: Self Confidence,120,25055544,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,14/02/2019,478
Autistica - Work: Self Confidence,120,24503298,Completely confident,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,14/02/2019,479
Autistica - Work: Self Confidence,120,43928283,Completely confident,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,14/02/2019,480
Autistica - Work: Self Confidence,120,19630284,Completely confident,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,14/02/2019,481
Autistica - Work: Self Confidence,120,87042105,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,14/02/2019,482
Autistica - Work: Self Confidence,120,71593024,Completely confident,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,14/02/2019,483
Autistica - Work: Self Confidence,120,31866214,Completely confident,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,14/02/2019,484
Autistica - Work: Self Confidence,120,97162166,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,14/02/2019,485
Autistica - Work: Self Confidence,120,41273901,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,14/02/2019,486
Autistica - Work: Self Confidence,120,43440948,Completely confident,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,14/02/2019,487
Autistica - Work: Self Confidence,120,77705205,Completely confident,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,14/02/2019,488
Autistica - Work: Self Confidence,120,58358243,Completely confident,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,14/02/2019,489
Autistica - Work: Self Confidence,120,47815963,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,14/02/2019,490
Autistica - Work: Self Confidence,120,69828639,Not confident at all,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,14/02/2019,491
Autistica - Work: Self Confidence,120,38868666,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,14/02/2019,492
Autistica - Work: Self Confidence,120,72888018,Completely confident,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,14/02/2019,493
Autistica - Work: Self Confidence,120,43522829,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,14/02/2019,494
Autistica - Work: Self Confidence,120,41811454,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,14/02/2019,495
Autistica - Work: Self Confidence,120,40690745,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,14/02/2019,496
Autistica - Work: Self Confidence,120,25057429,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,14/02/2019,497
Autistica - Work: Self Confidence,120,39249976,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,14/02/2019,498
Autistica - Work: Self Confidence,120,63410382,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,14/02/2019,499
Autistica - Work: Self Confidence,120,61657100,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,14/02/2019,500
Autistica - Work: Self Confidence,120,22222222,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,30/02/2019,501
Autistica - Work: Self Confidence,120,11111111,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,30/02/2019,502
Autistica - Work: Self Confidence,120,12077101,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,30/02/2019,503
Autistica - Work: Self Confidence,120,38961843,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,30/02/2019,504
Autistica - Work: Self Confidence,120,67611589,Completely confident,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,30/02/2019,505
Autistica - Work: Self Confidence,120,32500162,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,30/02/2019,506
Autistica - Work: Self Confidence,120,90705766,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,30/02/2019,507
Autistica - Work: Self Confidence,120,46465154,Not confident at all,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,30/02/2019,508
Autistica - Work: Self Confidence,120,36480781,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,30/02/2019,509
Autistica - Work: Self Confidence,120,86004302,A little,A little,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,A little,A little,30/02/2019,510
Autistica - Work: Self Confidence,120,74046800,Completely confident,A little,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,30/02/2019,511
Autistica - Work: Self Confidence,120,67512682,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,30/02/2019,512
Autistica - Work: Self Confidence,120,87436666,Not confident at all,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,30/02/2019,513
Autistica - Work: Self Confidence,120,28755653,Completely confident,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,30/02/2019,514
Autistica - Work: Self Confidence,120,66722819,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,30/02/2019,515
Autistica - Work: Self Confidence,120,65438804,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,A little,30/02/2019,516
Autistica - Work: Self Confidence,120,15938146,Not confident at all,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,A little,Moderate,30/02/2019,517
Autistica - Work: Self Confidence,120,37603401,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,30/02/2019,518
Autistica - Work: Self Confidence,120,23337145,Completely confident,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,30/02/2019,519
Autistica - Work: Self Confidence,120,99599196,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,30/02/2019,520
Autistica - Work: Self Confidence,120,25718877,Not confident at all,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,30/02/2019,521
Autistica - Work: Self Confidence,120,97909632,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,30/02/2019,522
Autistica - Work: Self Confidence,120,40268226,Completely confident,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,30/02/2019,523
Autistica - Work: Self Confidence,120,63985686,Completely confident,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,30/02/2019,524
Autistica - Work: Self Confidence,120,63237915,Not confident at all,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,30/02/2019,525
Autistica - Work: Self Confidence,120,50544037,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,30/02/2019,526
Autistica - Work: Self Confidence,120,14286843,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,Moderate,30/02/2019,527
Autistica - Work: Self Confidence,120,53175760,Not confident at all,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,A little,A little,30/02/2019,528
Autistica - Work: Self Confidence,120,56361261,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,A little,30/02/2019,529
Autistica - Work: Self Confidence,120,66411825,Not confident at all,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,A little,30/02/2019,530
Autistica - Work: Self Confidence,120,34060153,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,30/02/2019,531
Autistica - Work: Self Confidence,120,11168511,A little,Moderate,A little,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,30/02/2019,532
Autistica - Work: Self Confidence,120,85920205,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,A little,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,30/02/2019,533
Autistica - Work: Self Confidence,120,83766303,Completely confident,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,30/02/2019,534
Autistica - Work: Self Confidence,120,64793738,Not confident at all,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,30/02/2019,535
Autistica - Work: Self Confidence,120,59096037,Completely confident,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,30/02/2019,536
Autistica - Work: Self Confidence,120,77773077,Completely confident,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,A little,A little,A little,A little,Moderate,A little,A little,A little,A little,A little,Moderate,30/02/2019,537
Autistica - Work: Self Confidence,120,47375033,Not confident at all,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,A little,A little,A little,A little,Moderate,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,30/02/2019,538
Autistica - Work: Self Confidence,120,39847852,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,A little,30/02/2019,539
Autistica - Work: Self Confidence,120,68971632,Not confident at all,A little,Moderate,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,A little,Moderate,A little,A little,Moderate,30/02/2019,540
Autistica - Work: Self Confidence,120,22090963,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,A little,A little,A little,Moderate,Moderate,A little,A little,A little,Moderate,Moderate,Moderate,A little,Moderate,A little,A little,A little,A little,Moderate,Moderate,Moderate,A little,A little,30/02/2019,541
Autistica - Work: Self Confidence,120,60377624,Completely confident,A little,Moderate,A little,A little,A little,A little,A little,Moderate,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,A little,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,A little,Moderate,30/02/2019,542
Autistica - Work: Self Confidence,120,30738880,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,Moderate,Moderate,A little,Moderate,Moderate,Moderate,A little,A little,Moderate,A little,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,A little,A little,Moderate,Moderate,30/02/2019,543
