FormName,FormFreq,Username,The people I work with have excellent knowledge of autism,"I feel that if a new person was to join the team and they disclosed they were autistic, they would be well supported and understood by others",I feel that the management of the team are constantly improving their knowledge about autism,It is easy to find information within the organisation about supporting autistic employees,There are established pathways for autistic people to seek advice and support for managing their daily work activities,The organisation has been proactive in making adjustments and providing autism awareness training for employees,I think the organisation performs better than other organisations in the sector in terms of quality of support for autistic employees,Date,ID
Autistica - Organisational Culture,30,25057429,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,30/01/2019,297
Autistica - Organisational Culture,30,39249976,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,30/01/2019,298
Autistica - Organisational Culture,30,63410382,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,30/01/2019,299
Autistica - Organisational Culture,30,61657100,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,30/01/2019,300
Autistica - Organisational Culture,30,22222222,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,301
Autistica - Organisational Culture,30,11111111,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/02/2019,302
Autistica - Organisational Culture,30,12077101,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,303
Autistica - Organisational Culture,30,38961843,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,304
Autistica - Organisational Culture,30,67611589,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,305
Autistica - Organisational Culture,30,32500162,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,306
Autistica - Organisational Culture,30,90705766,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/02/2019,307
Autistica - Organisational Culture,30,46465154,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,308
Autistica - Organisational Culture,30,36480781,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,309
Autistica - Organisational Culture,30,86004302,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,01/02/2019,310
Autistica - Organisational Culture,30,74046800,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,311
Autistica - Organisational Culture,30,67512682,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,312
Autistica - Organisational Culture,30,87436666,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,313
Autistica - Organisational Culture,30,28755653,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,314
Autistica - Organisational Culture,30,66722819,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,315
Autistica - Organisational Culture,30,65438804,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,316
Autistica - Organisational Culture,30,15938146,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,317
Autistica - Organisational Culture,30,37603401,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,318
Autistica - Organisational Culture,30,23337145,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,319
Autistica - Organisational Culture,30,99599196,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,320
Autistica - Organisational Culture,30,25718877,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,321
Autistica - Organisational Culture,30,97909632,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,322
Autistica - Organisational Culture,30,40268226,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,323
Autistica - Organisational Culture,30,63985686,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,324
Autistica - Organisational Culture,30,63237915,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,325
Autistica - Organisational Culture,30,50544037,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,326
Autistica - Organisational Culture,30,14286843,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,327
Autistica - Organisational Culture,30,53175760,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,328
Autistica - Organisational Culture,30,56361261,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,329
Autistica - Organisational Culture,30,66411825,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,330
Autistica - Organisational Culture,30,34060153,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,331
Autistica - Organisational Culture,30,11168511,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,332
Autistica - Organisational Culture,30,85920205,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,333
Autistica - Organisational Culture,30,83766303,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,334
Autistica - Organisational Culture,30,64793738,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,335
Autistica - Organisational Culture,30,59096037,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,336
Autistica - Organisational Culture,30,77773077,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,337
Autistica - Organisational Culture,30,47375033,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,338
Autistica - Organisational Culture,30,39847852,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,339
Autistica - Organisational Culture,30,68971632,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,340
Autistica - Organisational Culture,30,22090963,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,341
Autistica - Organisational Culture,30,60377624,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,342
Autistica - Organisational Culture,30,30738880,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,343
Autistica - Organisational Culture,30,86589369,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,344
Autistica - Organisational Culture,30,66155821,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,345
Autistica - Organisational Culture,30,61677296,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,346
Autistica - Organisational Culture,30,56419454,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,347
Autistica - Organisational Culture,30,86397034,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,348
Autistica - Organisational Culture,30,41455969,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,349
Autistica - Organisational Culture,30,23394144,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,350
Autistica - Organisational Culture,30,21326904,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,351
Autistica - Organisational Culture,30,44980497,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,352
Autistica - Organisational Culture,30,38982647,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,353
Autistica - Organisational Culture,30,80484260,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,354
Autistica - Organisational Culture,30,24052776,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,355
Autistica - Organisational Culture,30,70538701,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,356
Autistica - Organisational Culture,30,89804580,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,357
Autistica - Organisational Culture,30,17191527,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,358
Autistica - Organisational Culture,30,12248148,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,359
Autistica - Organisational Culture,30,14567809,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,360
Autistica - Organisational Culture,30,53779464,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,361
Autistica - Organisational Culture,30,97777931,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,362
Autistica - Organisational Culture,30,99713717,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,363
Autistica - Organisational Culture,30,93466703,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,364
Autistica - Organisational Culture,30,37419497,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/02/2019,365
Autistica - Organisational Culture,30,35358065,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,366
Autistica - Organisational Culture,30,86131995,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,367
Autistica - Organisational Culture,30,57180656,Somewhat disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/02/2019,368
Autistica - Organisational Culture,30,62929404,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,01/02/2019,369
Autistica - Organisational Culture,30,30901982,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,370
Autistica - Organisational Culture,30,93085379,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,01/02/2019,371
Autistica - Organisational Culture,30,77431644,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,372
Autistica - Organisational Culture,30,67013133,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,373
Autistica - Organisational Culture,30,13838301,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,374
Autistica - Organisational Culture,30,66718298,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,375
Autistica - Organisational Culture,30,24641611,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,376
Autistica - Organisational Culture,30,67388864,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,377
Autistica - Organisational Culture,30,25055544,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,378
Autistica - Organisational Culture,30,24503298,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,379
Autistica - Organisational Culture,30,43928283,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,380
Autistica - Organisational Culture,30,19630284,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,381
Autistica - Organisational Culture,30,87042105,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,382
Autistica - Organisational Culture,30,71593024,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,383
Autistica - Organisational Culture,30,31866214,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,01/02/2019,384
Autistica - Organisational Culture,30,97162166,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,385
Autistica - Organisational Culture,30,41273901,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,386
Autistica - Organisational Culture,30,43440948,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,387
Autistica - Organisational Culture,30,77705205,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,388
Autistica - Organisational Culture,30,58358243,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,389
Autistica - Organisational Culture,30,47815963,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,390
Autistica - Organisational Culture,30,69828639,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,391
Autistica - Organisational Culture,30,38868666,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,01/02/2019,392
Autistica - Organisational Culture,30,72888018,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,393
Autistica - Organisational Culture,30,43522829,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,01/02/2019,394
Autistica - Organisational Culture,30,41811454,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,01/02/2019,395
Autistica - Organisational Culture,30,40690745,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,01/02/2019,396
Autistica - Organisational Culture,30,25057429,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,397
Autistica - Organisational Culture,30,39249976,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,01/02/2019,398
Autistica - Organisational Culture,30,63410382,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,399
Autistica - Organisational Culture,30,61657100,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,01/02/2019,400
Autistica - Organisational Culture,30,22222222,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,401
Autistica - Organisational Culture,30,11111111,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,402
Autistica - Organisational Culture,30,12077101,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/02/2019,403
Autistica - Organisational Culture,30,38961843,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,404
Autistica - Organisational Culture,30,67611589,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,405
Autistica - Organisational Culture,30,32500162,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,406
Autistica - Organisational Culture,30,90705766,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/02/2019,407
Autistica - Organisational Culture,30,46465154,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/02/2019,408
Autistica - Organisational Culture,30,36480781,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,409
Autistica - Organisational Culture,30,86004302,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,410
Autistica - Organisational Culture,30,74046800,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,411
Autistica - Organisational Culture,30,67512682,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,412
Autistica - Organisational Culture,30,87436666,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,413
Autistica - Organisational Culture,30,28755653,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,414
Autistica - Organisational Culture,30,66722819,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,415
Autistica - Organisational Culture,30,65438804,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,416
Autistica - Organisational Culture,30,15938146,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,14/02/2019,417
Autistica - Organisational Culture,30,37603401,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,418
Autistica - Organisational Culture,30,23337145,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,419
Autistica - Organisational Culture,30,99599196,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/02/2019,420
Autistica - Organisational Culture,30,25718877,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,421
Autistica - Organisational Culture,30,97909632,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,14/02/2019,422
Autistica - Organisational Culture,30,40268226,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,14/02/2019,423
Autistica - Organisational Culture,30,63985686,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,424
Autistica - Organisational Culture,30,63237915,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,425
Autistica - Organisational Culture,30,50544037,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/02/2019,426
Autistica - Organisational Culture,30,14286843,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,14/02/2019,427
Autistica - Organisational Culture,30,53175760,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,428
Autistica - Organisational Culture,30,56361261,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,429
Autistica - Organisational Culture,30,66411825,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,430
Autistica - Organisational Culture,30,34060153,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,431
Autistica - Organisational Culture,30,11168511,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,432
Autistica - Organisational Culture,30,85920205,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,433
Autistica - Organisational Culture,30,83766303,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,434
Autistica - Organisational Culture,30,64793738,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,435
Autistica - Organisational Culture,30,59096037,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,436
Autistica - Organisational Culture,30,77773077,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,437
Autistica - Organisational Culture,30,47375033,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,438
Autistica - Organisational Culture,30,39847852,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/02/2019,439
Autistica - Organisational Culture,30,68971632,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/02/2019,440
Autistica - Organisational Culture,30,22090963,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,441
Autistica - Organisational Culture,30,60377624,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,442
Autistica - Organisational Culture,30,30738880,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,443
Autistica - Organisational Culture,30,86589369,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,444
Autistica - Organisational Culture,30,66155821,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,445
Autistica - Organisational Culture,30,61677296,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,446
Autistica - Organisational Culture,30,56419454,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/02/2019,447
Autistica - Organisational Culture,30,86397034,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,448
Autistica - Organisational Culture,30,41455969,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,449
Autistica - Organisational Culture,30,23394144,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,450
Autistica - Organisational Culture,30,21326904,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,451
Autistica - Organisational Culture,30,44980497,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,452
Autistica - Organisational Culture,30,38982647,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,14/02/2019,453
Autistica - Organisational Culture,30,80484260,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,454
Autistica - Organisational Culture,30,24052776,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,14/02/2019,455
Autistica - Organisational Culture,30,70538701,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,14/02/2019,456
Autistica - Organisational Culture,30,89804580,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,457
Autistica - Organisational Culture,30,17191527,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,14/02/2019,458
Autistica - Organisational Culture,30,12248148,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,14/02/2019,459
Autistica - Organisational Culture,30,14567809,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,14/02/2019,460
Autistica - Organisational Culture,30,53779464,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,14/02/2019,461
Autistica - Organisational Culture,30,97777931,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,14/02/2019,462
Autistica - Organisational Culture,30,99713717,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,14/02/2019,463
Autistica - Organisational Culture,30,93466703,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,14/02/2019,464
Autistica - Organisational Culture,30,37419497,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,14/02/2019,465
Autistica - Organisational Culture,30,35358065,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,14/02/2019,466
